post_id,user_id,post_type,followers,likes,shares,comments,engagement_rate,post_date,best_posting_time,sentiment,virality_index,ctr,hashtags_used,campaign_name,post_duration,engagement_category
1,fashionista,Carousel,1243000,2142,371,342,22.98,2023-01-01,6PM,Negative,0.13,3.66,travel_gamerlife,Art_Festival,N/A,Medium
2,techguru,Reels,892000,3267,566,522,48.85,2023-01-01,12PM,Neutral,0.13,4.67,beauty_music,Winter_Sale,46s,High
3,beauty_guru,Static,1102000,987,171,157,11.95,2023-01-01,9PM,Negative,0.13,3.71,music_tech,Fitness_Challenge,N/A,Low
4,foodlover,Static,876000,824,142,131,12.55,2023-01-01,9PM,Positive,0.13,4.43,fashion_gamerlife,Winter_Sale,N/A,Low
5,travelbug,Reels,1324000,3918,679,627,39.47,2023-01-01,6AM,Neutral,0.13,2.48,gamerlife_fitness,Art_Festival,15s,High
6,gamer,Carousel,654000,1100,190,176,22.44,2023-01-01,12PM,Positive,0.13,2.62,travel_beauty,Art_Festival,N/A,Medium
7,lifestyle,Static,943000,963,167,154,13.63,2023-01-01,12PM,Positive,0.13,1.1,fitness_fashion,Taste_Week,N/A,Low
8,musician,Static,782000,685,118,109,11.7,2023-01-01,9PM,Negative,0.13,4.49,foodie_gamerlife,Art_Festival,N/A,Low
9,artist,Static,567000,564,97,90,13.28,2023-01-01,12PM,Positive,0.13,1.27,beauty_fitness,Art_Festival,N/A,Low
10,fitnessfan,Carousel,834000,1417,245,226,22.66,2023-01-01,9PM,Neutral,0.13,4.96,gamerlife_music,Art_Festival,N/A,Medium
11,fashionista,Static,1243318,1206,209,192,12.94,2023-01-02,12PM,Negative,0.13,3.13,foodie_travel,Fitness_Challenge,N/A,Low
12,techguru,Static,892098,909,157,145,13.61,2023-01-02,6PM,Positive,0.13,2.63,music_beauty,Winter_Sale,N/A,Low
13,beauty_guru,Carousel,1102162,1972,341,315,23.87,2023-01-02,9PM,Neutral,0.13,2.95,foodie_music,Launch_Promo,N/A,Medium
14,foodlover,Static,876184,742,128,118,11.31,2023-01-02,12PM,Positive,0.13,4.79,music_fashion,Art_Festival,N/A,Low
15,travelbug,Static,1324206,1238,214,198,12.47,2023-01-02,6PM,Negative,0.13,1.83,art_fashion,Art_Festival,N/A,Low
16,gamer,Reels,654165,2289,396,366,46.66,2023-01-02,6PM,Negative,0.13,4.24,fitness_tech,Art_Festival,54s,High
17,lifestyle,Reels,943193,2899,502,463,40.99,2023-01-02,9PM,Negative,0.13,3.41,foodie_beauty,Taste_Week,35s,High
18,musician,Reels,782081,2369,410,379,40.4,2023-01-02,6PM,Positive,0.13,1.64,fitness_travel,Art_Festival,24s,High
19,artist,Reels,567060,1692,293,270,39.79,2023-01-02,6AM,Positive,0.13,4.87,travel_beauty,Winter_Sale,40s,High
20,fitnessfan,Reels,834162,2423,420,387,38.74,2023-01-02,6AM,Neutral,0.13,3.55,music_beauty,Winter_Sale,14s,High
21,fashionista,Static,1243494,1050,182,168,11.27,2023-01-03,6AM,Positive,0.13,2.84,travel_beauty,Fitness_Challenge,N/A,Low
22,techguru,Carousel,892354,1335,231,213,19.95,2023-01-03,9PM,Negative,0.13,2.79,tech_beauty,Taste_Week,N/A,Low
23,beauty_guru,Carousel,1102346,1698,294,271,20.54,2023-01-03,12PM,Positive,0.13,4.61,music_fashion,Art_Festival,N/A,Medium
24,foodlover,Static,876414,896,155,143,13.64,2023-01-03,12PM,Positive,0.13,4.81,music_gamerlife,Fitness_Challenge,N/A,Low
25,travelbug,Static,1324591,1113,192,178,11.21,2023-01-03,6PM,Neutral,0.13,4.79,art_travel,Winter_Sale,N/A,Low
26,gamer,Carousel,654293,1109,192,177,22.61,2023-01-03,9PM,Neutral,0.13,1.05,travel_music,Art_Festival,N/A,Medium
27,lifestyle,Static,943324,794,137,127,11.23,2023-01-03,6AM,Neutral,0.13,4.82,art_gamerlife,Fitness_Challenge,N/A,Low
28,musician,Static,782184,783,135,125,13.36,2023-01-03,9PM,Neutral,0.13,1.56,music_tech,Art_Festival,N/A,Low
29,artist,Carousel,567193,997,172,159,23.45,2023-01-03,6PM,Neutral,0.13,1.86,art_beauty,Winter_Sale,N/A,Medium
30,fitnessfan,Reels,834257,2535,439,405,40.52,2023-01-03,6AM,Neutral,0.13,1.22,foodie_fitness,Art_Festival,59s,High
31,fashionista,Reels,1243764,4410,764,705,47.28,2023-01-04,12PM,Neutral,0.13,1.12,beauty_gamerlife,Launch_Promo,18s,High
32,techguru,Carousel,892532,1326,229,212,19.81,2023-01-04,9PM,Negative,0.13,4.25,tech_music,Fitness_Challenge,N/A,Low
33,beauty_guru,Static,1102542,1137,197,181,13.76,2023-01-04,9PM,Neutral,0.13,3.04,fitness_gamerlife,Taste_Week,N/A,Low
34,foodlover,Carousel,876595,1436,248,229,21.85,2023-01-04,9PM,Negative,0.13,4.92,foodie_travel,Fitness_Challenge,N/A,Medium
35,travelbug,Static,1324958,1124,194,179,11.31,2023-01-04,6PM,Neutral,0.13,4.96,fitness_gamerlife,Art_Festival,N/A,Low
36,gamer,Reels,654407,2329,403,372,47.47,2023-01-04,6PM,Negative,0.13,1.65,art_foodie,Fitness_Challenge,20s,High
37,lifestyle,Static,943487,950,164,152,13.44,2023-01-04,6AM,Neutral,0.13,1.78,beauty_foodie,Art_Festival,N/A,Low
38,musician,Reels,782355,2403,416,384,40.97,2023-01-04,12PM,Neutral,0.13,4.86,art_foodie,Taste_Week,8s,High
39,artist,Carousel,567354,1047,181,167,24.62,2023-01-04,9PM,Negative,0.13,2.5,fitness_gamerlife,Launch_Promo,N/A,Medium
40,fitnessfan,Static,834342,869,150,139,13.9,2023-01-04,6PM,Positive,0.13,1.3,fitness_tech,Fitness_Challenge,N/A,Low
41,fashionista,Carousel,1244063,2088,361,334,22.38,2023-01-05,9PM,Neutral,0.13,2.91,art_fashion,Launch_Promo,N/A,Medium
42,techguru,Static,892771,759,131,121,11.35,2023-01-05,12PM,Negative,0.13,3.18,fashion_tech,Launch_Promo,N/A,Low
43,beauty_guru,Carousel,1102820,1966,340,314,23.78,2023-01-05,9PM,Positive,0.13,3.54,travel_foodie,Winter_Sale,N/A,Medium
44,foodlover,Reels,876808,3143,544,502,47.81,2023-01-05,6AM,Negative,0.13,4.48,art_gamerlife,Art_Festival,18s,High
45,travelbug,Reels,1325338,4800,832,768,48.3,2023-01-05,9PM,Positive,0.13,4.07,art_foodie,Art_Festival,6s,High
46,gamer,Reels,654602,2364,409,378,48.17,2023-01-05,12PM,Positive,0.13,3.13,tech_music,Taste_Week,43s,High
47,lifestyle,Reels,943620,3339,578,534,47.2,2023-01-05,6PM,Positive,0.13,4.88,gamerlife_beauty,Taste_Week,46s,High
48,musician,Reels,782530,2360,409,377,40.22,2023-01-05,6AM,Positive,0.13,3.44,music_tech,Taste_Week,24s,High
49,artist,Static,567503,510,88,81,12.0,2023-01-05,12PM,Neutral,0.13,1.57,fitness_beauty,Fitness_Challenge,N/A,Low
50,fitnessfan,Reels,834503,2872,497,459,45.9,2023-01-05,9PM,Negative,0.13,4.51,gamerlife_foodie,Winter_Sale,41s,High
51,fashionista,Static,1244195,1153,199,184,12.36,2023-01-06,9PM,Neutral,0.13,1.79,tech_beauty,Taste_Week,N/A,Low
52,techguru,Static,893005,771,133,123,11.51,2023-01-06,6PM,Negative,0.13,3.28,art_foodie,Art_Festival,N/A,Low
53,beauty_guru,Static,1103080,1027,178,164,12.42,2023-01-06,12PM,Neutral,0.13,2.27,music_foodie,Winter_Sale,N/A,Low
54,foodlover,Carousel,876948,1428,247,228,21.72,2023-01-06,12PM,Negative,0.13,3.3,fashion_music,Fitness_Challenge,N/A,Medium
55,travelbug,Carousel,1325693,2152,373,344,21.66,2023-01-06,9PM,Negative,0.13,1.14,foodie_beauty,Taste_Week,N/A,Medium
56,gamer,Reels,654671,2109,365,337,42.98,2023-01-06,6AM,Neutral,0.13,2.67,beauty_fitness,Fitness_Challenge,52s,High
57,lifestyle,Reels,943846,2994,519,479,42.32,2023-01-06,12PM,Neutral,0.13,4.5,tech_fitness,Taste_Week,57s,High
58,musician,Static,782656,789,136,126,13.46,2023-01-06,12PM,Positive,0.13,1.62,beauty_art,Taste_Week,N/A,Low
59,artist,Static,567596,519,90,83,12.22,2023-01-06,9PM,Negative,0.13,3.49,travel_beauty,Fitness_Challenge,N/A,Low
60,fitnessfan,Reels,834634,2872,497,459,45.89,2023-01-06,6AM,Positive,0.13,4.55,fashion_fitness,Art_Festival,56s,High
